Item,Carga CPU,Carga RAM,Promedio Trespuesta,AvgIOReadOperationsPerSec,AvgIOWriteOperationsPerSec,SQL Cache Memory,Sesiones Activas,Loginspersecond,User Conections,Disponibilidad SQL,Average Latch Wait Time,Lock Wait Time,Eventos SQL
95,54.33333333,97.82884471,1,120.1946129,398.9587181,67648.66667,118.5,0.104558293,160.4722222,100,2.331726165,9.75045582,2
96,56.66666667,97.98339081,1,161.7853847,376.3345761,68410.22222,109.5833333,0.10282383,158.1666667,100,1.991322165,12.73467383,0
97,59.33333333,98.02743785,1,326.9337866,391.8953157,66418.66667,93.41666667,0.105978305,159.1388889,100,2.264359545,16.75710763,0
98,56,98.02134705,1,170.7068919,389.2970319,67402.44444,113,0.103884017,158.0277778,100,2.237868238,14.96219165,0
99,67.66666667,98.01792908,1,321.2649927,388.802918,68052.22222,101.9166667,0.10394735,159.1388889,100,2.565222638,10.73581269,0
100,53,98.01436361,1,214.0247398,418.6583876,67072.66667,96.22222222,0.103817665,159.9166667,100,2.650455201,8.608384503,0
101,64.66666667,98.01348877,1,265.1750766,404.9073938,65710.88889,123.6388889,0.105512303,158.0277778,100,2.945882161,13.71575578,0
102,62,97.96810404,1,321.0858751,408.005153,68122.22222,112.0277778,0.106615505,149.2777778,100,2.853256775,15.40865312,0
103,68.33333333,98.01330566,1,137.1256735,405.4864184,68402.88889,131.9444444,0.09351862,93.44444444,100,2.589400554,15.91459152,0
104,47,97.99292501,1,146.944623,384.69432,67947.33333,100,0.094444577,92.16666667,100,2.121867028,11.36668199,0
105,52.66666667,98.06670888,1,439.0800916,499.3735828,66234,106.6111111,0.093669251,92.02777778,100,2.1789882,12.35423981,0
106,42.66666667,98.09517924,1,314.5769638,356.9548822,65222.22222,90.36111111,0.092232478,91.44444444,100,2.024991405,15.81197691,0
107,48.66666667,97.92393494,1,374.1794198,416.8828953,67973.77778,102.5,0.093703794,94.86111111,100,2.622088588,12.40408075,0
108,60.33333333,97.56629181,1,395.4960172,609.4785663,73703.11111,186.3333333,0.109206378,111.4722222,100,3.23373251,16.72372386,0
109,68,96.90135447,1,189.1624869,630.5409356,72482.44444,103.8611111,0.101826089,140.8888889,100,3.298935181,9.380273884,0
110,65.66666667,96.57268016,4,221.2806284,568.8696971,71019.77778,164.9166667,0.099906367,98.30555556,100,3.013337349,30.20323623,0
111,56.66666667,96.47231547,1,115.8208166,438.9170625,68268.44444,151.3611111,0.096835114,80.77777778,100,3.173316439,20.29532334,0
112,55,96.448644,1,92.80272429,380.471277,67779.11111,161.5555556,0.096745463,78.19444444,100,1.934390786,18.61736656,0
113,64.66666667,97.1529719,1,470.6930496,462.5300566,67041.55556,176.8888889,0.098368878,77.83333333,100,2.288050732,20.34176841,0
114,52.66666667,97.64188385,1,239.9616136,416.1188784,67646,110.8333333,0.096506727,76.11111111,100,2.19664567,18.03153499,0
115,46,97.63021088,3,207.322674,383.1153336,67922,98.63888889,0.094255855,77.02777778,100,2.464752121,12.13048703,0
116,66.33333333,97.37095133,10.11320755,373.5045457,489.9333284,68056,105,0.094345574,78.65517241,100,2.610289548,12.73757212,0
117,55.66666667,97.30653636,1,222.1023031,414.2789856,67219.11111,154.6388889,0.095585458,78.80555556,100,2.521914862,14.83394252,0
118,54.33333333,97.31312307,1,191.7362165,404.6779377,68548.44444,129.9166667,0.094814714,77.52777778,100,2.438654493,19.2971166,0
119,67.33333333,97.32092539,1,125.9187122,346.3092009,68596.66667,132.4444444,0.093997476,76.02777778,100,2.114091536,14.67210452,0
120,39.66666667,97.70381165,1,296.7712658,390.1550868,68039.11111,106.4722222,0.094309579,76.16666667,100,2.355117963,12.21313452,0
121,52.66666667,97.8291626,1,304.9791845,443.732616,66754,107.8611111,0.098740322,74.27777778,100,1.74916212,13.16321738,0
122,51.33333333,97.85219065,1,244.4944961,399.4189441,67737.55556,109.0277778,0.094013952,74.66666667,100,1.912112407,14.53529278,0
123,55.66666667,97.89089966,1,201.9395874,364.0417958,67919.55556,86.33333333,0.094008612,75.36111111,100,1.987612386,14.07228152,0
124,57.33333333,97.84314728,1,278.0337968,374.358876,67964.88889,102.8055556,0.094606786,77.88888889,100,2.433048055,12.04058658,0
125,51.66666667,97.78298442,1,208.7233122,399.5115686,72911.33333,119.5277778,0.097008268,77.05555556,100,2.343395059,9.122656813,0
126,62,97.89627584,1,247.5810485,405.4262395,70301.11111,84.25,0.095968275,76.16666667,100,2.079709309,16.01386531,0
127,53.66666667,98.00905609,3.666666667,172.7817619,380.795734,68073.33333,80.16666667,0.092441913,73.11111111,100,1.86479253,15.52529478,0
128,54.66666667,97.93560791,1,153.5669823,379.4305432,67971.33333,101.75,0.094084432,73.33333333,100,1.924024449,17.67760215,0
